Qty,description,Pkg,Verified,Mouser #,
1,ATMEGA32U4-AU,TQFP-44,X (need to verify circuit),556-ATMEGA32U4-AU,6.56
2,1µF 805,805,X,80-C0805C105K4R,0.1
7,0.1µF 805,805,X,80-C0805C104K5R,0.12
1,10µF ceramic,1206,X,810-C3216X7R1C106MAE,0.56
2,18pF NP0,805,X,80-C0805C180J5G,0.11
1,100k Resistor,805,X,667-ERA-6AED104V,
1,20k Resistor,805,X,667-ERA-6AED203V,
1,10k Resistor,805,X,667-ERA-6AED103V,
1,150 Resistor,805,X,667-ERA-6AED151V,
2,120Ω Resistor,805,X,667-ERA-6AED121V,
2,22Ω Resistor,805,X,754-RR1220Q-220D,
,4.7KΩ Resistor,805,X,667-ERA-6AED472V,
1,8Mhz XTMAL 5 mm x 3.2 mm,5 mm x 3.2 mm,X,815-ABM3B-8.0-B2-T,0.65
1,0.5A PTC - resettable fuse,3216,X,576-1206L050/15YR,0.48
1,LED Driver,SSOP-28 5.3 x 10.2mm ,X,870-IS31FL3731-SALS2,1.93
13,Common Anode RGB LED,PLCC-4,X,941-CLV1LFKBCHMMQDGB,0.24
1,Button - j-wing,,X,667-EVQ-Q2F01W,0.39
1,USB mini connector,,X,649-10033526-N3212LF,0.65
78,Cherry MX or ALPS switch,,X,,
78,1N4148 through hole diode,DO-35,X,512-1N4148,0.019
